16:21.487 | Performing 3 clicks
16:22.462 | [LOG] Fishing successful
16:22.462 | [LOG] Adding random delay...
16:36.559 | [LOG] Cast number 60
16:41.899 | [LOG] Waiting for fish
17:07.221 | [AI] I guess I need to click 5 times
17:07.221 | Performing 5 clicks
17:08.851 | [LOG] Fishing successful
17:08.851 | [LOG] Adding random delay...
17:22.448 | [LOG] Something went wrong, reseting bot...
17:22.448 | [LOG] Cast number 61
17:27.782 | [LOG] Waiting for fish
17:45.642 | [AI] I guess I need to click 1 times
17:45.642 | Performing 1 clicks
17:45.968 | [LOG] Fishing successful
17:45.968 | [LOG] Adding random delay...
17:57.999 | [LOG] Cast number 62
18:03.326 | [LOG] Waiting for fish
18:20.536 | [AI] I guess I need to click 2 times
18:20.536 | Performing 2 clicks
18:21.194 | [LOG] Fishing successful
18:21.194 | [LOG] Adding random delay...
18:35.766 | [LOG] Cast number 63
18:41.098 | [LOG] Waiting for fish
18:58.327 | [AI] I guess I need to click 5 times
18:58.327 | Performing 5 clicks
18:59.943 | [LOG] Fishing successful
18:59.943 | [LOG] Adding random delay...
19:12.743 | [LOG] Cast number 64
19:18.080 | [LOG] Waiting for fish
19:33.575 | [AI] I guess I need to click 4 times
19:33.576 | Performing 4 clicks
19:34.881 | [LOG] Fishing successful
19:34.881 | [LOG] Adding random delay...
19:47.005 | [LOG] Cast number 65
19:52.343 | [LOG] Waiting for fish
20:10.145 | [AI] I guess I need to click 1 times
20:10.145 | Performing 1 clicks
20:10.470 | [LOG] Fishing successful
20:10.470 | [LOG] Adding random delay...
20:24.175 | [LOG] Cast number 66
20:29.501 | [LOG] Waiting for fish
20:51.311 | [AI] I guess I need to click 1 times
20:51.311 | Performing 1 clicks
20:51.631 | [LOG] Fishing successful
20:51.631 | [LOG] Adding random delay...
21:04.233 | [LOG] Cast number 67
21:09.567 | [LOG] Waiting for fish
21:33.689 | [AI] I guess I need to click 4 times
21:33.689 | Performing 4 clicks
21:34.991 | [LOG] Fishing successful
21:34.991 | [LOG] Adding random delay...
21:47.997 | [LOG] Cast number 68
21:53.337 | [LOG] Waiting for fish
22:16.972 | [AI] I guess I need to click 3 times
22:16.972 | Performing 3 clicks
22:17.940 | [LOG] Fishing successful
22:17.940 | [LOG] Adding random delay...
22:29.943 | [LOG] Cast number 69
22:35.276 | [LOG] Waiting for fish
22:58.326 | [AI] I guess I need to click 5 times
22:58.327 | Performing 5 clicks
22:59.959 | [LOG] Fishing successful
22:59.959 | [LOG] Adding random delay...
23:12.045 | [LOG] Cast number 70
23:17.374 | [LOG] Waiting for fish
23:39.209 | [AI] I guess I need to click 2 times
23:39.209 | Performing 2 clicks
23:39.854 | [LOG] Fishing successful
23:39.854 | [LOG] Adding random delay...
23:52.333 | [LOG] Cast number 71
23:57.664 | [LOG] Waiting for fish
24:12.644 | [AI] I guess I need to click 5 times
24:12.644 | Performing 5 clicks
24:14.269 | [LOG] Fishing successful
24:14.269 | [LOG] Adding random delay...
24:26.298 | [LOG] Cast number 72
24:31.632 | [LOG] Waiting for fish
24:52.824 | [AI] I guess I need to click 1 times
24:52.825 | Performing 1 clicks
24:53.153 | [LOG] Fishing successful
24:53.153 | [LOG] Adding random delay...
25:07.781 | [LOG] Cast number 73
25:13.119 | [LOG] Waiting for fish
25:36.118 | [AI] I guess I need to click 1 times
